Alert ID,Ticker,Name,Description,Time
2223591408,"CBOT:ZW1!, 15m",,"{""symbol"":""ZW1!"",""side"":""S"",""price"":532.25}",2025-04-29T14:02:04Z
2223589138,"CBOT:ZC1!, 15m",,"{""symbol"":""ZC1!"",""side"":""S"",""price"":473.5}",2025-04-29T13:58:13Z
2223592996,"CME_MINI:MES1!, 15m",,"{""symbol"":""MES1!"",""side"":""B"",""price"":5557}",2025-04-29T13:50:08Z
2223593469,"CBOT_MINI:MYM1!, 15m",,"{""symbol"":""MYM1!"",""side"":""B"",""price"":40558}",2025-04-29T13:50:06Z
2223586248,"COMEX_MINI:MHG1!, 15m",,"{""symbol"":""MHG1!"",""side"":""S"",""price"":4.9095}",2025-04-29T13:47:19Z
2223584382,"NYMEX:MNG1!, 15m",,"{""symbol"":""MNG1!"",""side"":""S"",""price"":3.344}",2025-04-29T13:46:38Z
2223584382,"NYMEX:MNG1!, 15m",,"{""symbol"":""MNG1!"",""side"":""S"",""price"":3.344}",2025-04-29T13:41:41Z
2223586248,"COMEX_MINI:MHG1!, 15m",,"{""symbol"":""MHG1!"",""side"":""S"",""price"":4.9095}",2025-04-29T13:36:19Z
2223590944,"CBOT:ZL1!, 15m",,"{""symbol"":""ZL1!"",""side"":""S"",""price"":49.77}",2025-04-29T13:30:00Z
2223589834,"CBOT:ZS1!, 15m",,"{""symbol"":""ZS1!"",""side"":""B"",""price"":1060.75}",2025-04-29T13:30:00Z
2223586248,"COMEX_MINI:MHG1!, 15m",,"{""symbol"":""MHG1!"",""side"":""S"",""price"":4.909}",2025-04-29T13:16:50Z
2223586248,"COMEX_MINI:MHG1!, 15m",,"{""symbol"":""MHG1!"",""side"":""S"",""price"":4.909}",2025-04-29T13:04:51Z
2223593755,"CBOT_MINI:MYM1!, 15m",,"{""symbol"":""MYM1!"",""side"":""S"",""price"":40420}",2025-04-29T13:00:07Z
2223589973,"CBOT:ZS1!, 15m",,"{""symbol"":""ZS1!"",""side"":""S"",""price"":1057}",2025-04-29T12:03:51Z
2223584182,"NYMEX:MNG1!, 15m",,"{""symbol"":""MNG1!"",""side"":""B"",""price"":3.343}",2025-04-29T10:55:24Z
2223593755,"CBOT_MINI:MYM1!, 15m",,"{""symbol"":""MYM1!"",""side"":""S"",""price"":40419}",2025-04-29T10:48:56Z
2223591220,"CBOT:ZW1!, 15m",,"{""symbol"":""ZW1!"",""side"":""B"",""price"":533.5}",2025-04-29T10:21:58Z
2223589834,"CBOT:ZS1!, 15m",,"{""symbol"":""ZS1!"",""side"":""B"",""price"":1060.25}",2025-04-29T09:59:04Z
2223592493,"ICEUS_DLY:SB1!, 15m",,"{""symbol"":""SB1!"",""side"":""S"",""price"":17.8}",2025-04-29T09:58:21Z
2223588529,"CBOT:ZC1!, 15m",,"{""symbol"":""ZC1!"",""side"":""B"",""price"":474}",2025-04-29T09:42:18Z
2223584382,"NYMEX:MNG1!, 15m",,"{""symbol"":""MNG1!"",""side"":""S"",""price"":3.323}",2025-04-29T09:34:56Z
2223592493,"ICEUS_DLY:SB1!, 15m",,"{""symbol"":""SB1!"",""side"":""S"",""price"":17.77}",2025-04-29T09:33:09Z
2223583060,"NYMEX:MCL1!, 15m",,"{""symbol"":""MCL1!"",""side"":""B"",""price"":61.56}",2025-04-29T08:30:11Z
2223583060,"NYMEX:MCL1!, 15m",,"{""symbol"":""MCL1!"",""side"":""B"",""price"":61.56}",2025-04-29T08:18:41Z
2223590771,"CBOT:ZL1!, 15m",,"{""symbol"":""ZL1!"",""side"":""B"",""price"":50.07}",2025-04-29T08:16:01Z
2223589834,"CBOT:ZS1!, 15m",,"{""symbol"":""ZS1!"",""side"":""B"",""price"":1060.25}",2025-04-29T08:03:02Z
2223590771,"CBOT:ZL1!, 15m",,"{""symbol"":""ZL1!"",""side"":""B"",""price"":50.07}",2025-04-29T08:00:06Z
2223584382,"NYMEX:MNG1!, 15m",,"{""symbol"":""MNG1!"",""side"":""S"",""price"":3.323}",2025-04-29T07:54:40Z
2223589834,"CBOT:ZS1!, 15m",,"{""symbol"":""ZS1!"",""side"":""B"",""price"":1060.25}",2025-04-29T07:54:13Z
2223592996,"CME_MINI:MES1!, 15m",,"{""symbol"":""MES1!"",""side"":""B"",""price"":5572}",2025-04-29T07:51:27Z
2223591408,"CBOT:ZW1!, 15m",,"{""symbol"":""ZW1!"",""side"":""S"",""price"":532.25}",2025-04-29T07:46:01Z
2223590771,"CBOT:ZL1!, 15m",,"{""symbol"":""ZL1!"",""side"":""B"",""price"":50.07}",2025-04-29T07:35:55Z
2223591408,"CBOT:ZW1!, 15m",,"{""symbol"":""ZW1!"",""side"":""S"",""price"":532.25}",2025-04-29T07:31:30Z
2223586074,"COMEX_MINI:MHG1!, 15m",,"{""symbol"":""MHG1!"",""side"":""B"",""price"":4.8915}",2025-04-29T07:10:03Z
2223589834,"CBOT:ZS1!, 15m",,"{""symbol"":""ZS1!"",""side"":""B"",""price"":1060.25}",2025-04-29T06:53:10Z
2223586074,"COMEX_MINI:MHG1!, 15m",,"{""symbol"":""MHG1!"",""side"":""B"",""price"":4.8915}",2025-04-29T06:31:37Z
2223589973,"CBOT:ZS1!, 15m",,"{""symbol"":""ZS1!"",""side"":""S"",""price"":1058}",2025-04-29T06:11:33Z
2223593158,"CME_MINI:MES1!, 15m",,"{""symbol"":""MES1!"",""side"":""S"",""price"":5553.75}",2025-04-29T05:59:40Z
2223593158,"CME_MINI:MES1!, 15m",,"{""symbol"":""MES1!"",""side"":""S"",""price"":5553.75}",2025-04-29T05:33:55Z
2223593158,"CME_MINI:MES1!, 15m",,"{""symbol"":""MES1!"",""side"":""S"",""price"":5553.5}",2025-04-29T05:21:19Z
2223589138,"CBOT:ZC1!, 15m",,"{""symbol"":""ZC1!"",""side"":""S"",""price"":474}",2025-04-29T03:31:08Z
2223590944,"CBOT:ZL1!, 15m",,"{""symbol"":""ZL1!"",""side"":""S"",""price"":49.98}",2025-04-29T03:30:34Z
2223586248,"COMEX_MINI:MHG1!, 15m",,"{""symbol"":""MHG1!"",""side"":""S"",""price"":4.8955}",2025-04-29T02:51:09Z
2223589138,"CBOT:ZC1!, 15m",,"{""symbol"":""ZC1!"",""side"":""S"",""price"":474}",2025-04-29T00:00:05Z
2223586074,"COMEX_MINI:MHG1!, 15m",,"{""symbol"":""MHG1!"",""side"":""B"",""price"":4.902}",2025-04-28T22:15:06Z
2223586074,"COMEX_MINI:MHG1!, 15m",,"{""symbol"":""MHG1!"",""side"":""B"",""price"":4.8975}",2025-04-28T22:07:22Z
2223593469,"CBOT_MINI:MYM1!, 15m",,"{""symbol"":""MYM1!"",""side"":""B"",""price"":40315}",2025-04-28T19:08:39Z
2223592996,"CME_MINI:MES1!, 15m",,"{""symbol"":""MES1!"",""side"":""B"",""price"":5539.75}",2025-04-28T19:07:12Z
2223591220,"CBOT:ZW1!, 15m",,"{""symbol"":""ZW1!"",""side"":""B"",""price"":533.25}",2025-04-28T17:19:55Z
2223591220,"CBOT:ZW1!, 15m",,"{""symbol"":""ZW1!"",""side"":""B"",""price"":533.25}",2025-04-28T17:00:53Z
2223593755,"CBOT_MINI:MYM1!, 15m",,"{""symbol"":""MYM1!"",""side"":""S"",""price"":40338}",2025-04-28T15:15:09Z
2223593755,"CBOT_MINI:MYM1!, 15m",,"{""symbol"":""MYM1!"",""side"":""S"",""price"":40338}",2025-04-28T15:08:31Z
2223589834,"CBOT:ZS1!, 15m",,"{""symbol"":""ZS1!"",""side"":""B"",""price"":1055.75}",2025-04-28T14:47:08Z
2223586074,"COMEX_MINI:MHG1!, 15m",,"{""symbol"":""MHG1!"",""side"":""B"",""price"":4.8675}",2025-04-28T14:38:21Z
2223589834,"CBOT:ZS1!, 15m",,"{""symbol"":""ZS1!"",""side"":""B"",""price"":1055.75}",2025-04-28T14:37:01Z
2223593755,"CBOT_MINI:MYM1!, 15m",,"{""symbol"":""MYM1!"",""side"":""S"",""price"":40339}",2025-04-28T14:31:58Z
2223592338,"ICEUS_DLY:SB1!, 15m",,"{""symbol"":""SB1!"",""side"":""B"",""price"":17.77}",2025-04-28T14:11:09Z
2223593469,"CBOT_MINI:MYM1!, 15m",,"{""symbol"":""MYM1!"",""side"":""B"",""price"":40381}",2025-04-28T14:03:33Z
2223590944,"CBOT:ZL1!, 15m",,"{""symbol"":""ZL1!"",""side"":""S"",""price"":49.45}",2025-04-28T14:02:31Z
2223588529,"CBOT:ZC1!, 15m",,"{""symbol"":""ZC1!"",""side"":""B"",""price"":473.25}",2025-04-28T13:58:57Z
2223593158,"CME_MINI:MES1!, 15m",,"{""symbol"":""MES1!"",""side"":""S"",""price"":5548}",2025-04-28T13:58:23Z
2223592338,"ICEUS_DLY:SB1!, 15m",,"{""symbol"":""SB1!"",""side"":""B"",""price"":17.77}",2025-04-28T13:55:28Z
2223586248,"COMEX_MINI:MHG1!, 15m",,"{""symbol"":""MHG1!"",""side"":""S"",""price"":4.829}",2025-04-28T13:53:21Z
2223591408,"CBOT:ZW1!, 15m",,"{""symbol"":""ZW1!"",""side"":""S"",""price"":528.5}",2025-04-28T13:45:04Z
2223584182,"NYMEX:MNG1!, 15m",,"{""symbol"":""MNG1!"",""side"":""B"",""price"":3.248}",2025-04-28T13:45:02Z
2223593469,"CBOT_MINI:MYM1!, 15m",,"{""symbol"":""MYM1!"",""side"":""B"",""price"":40546}",2025-04-28T13:45:00Z
2223583060,"NYMEX:MCL1!, 15m",,"{""symbol"":""MCL1!"",""side"":""B"",""price"":63.09}",2025-04-28T13:30:07Z
2223583060,"NYMEX:MCL1!, 15m",,"{""symbol"":""MCL1!"",""side"":""B"",""price"":63.09}",2025-04-28T13:29:02Z
2223584182,"NYMEX:MNG1!, 15m",,"{""symbol"":""MNG1!"",""side"":""B"",""price"":3.103}",2025-04-28T12:57:37Z
2223584382,"NYMEX:MNG1!, 15m",,"{""symbol"":""MNG1!"",""side"":""S"",""price"":3.066}",2025-04-28T12:37:25Z
2223583060,"NYMEX:MCL1!, 15m",,"{""symbol"":""MCL1!"",""side"":""B"",""price"":63.09}",2025-04-28T12:36:17Z
2223589973,"CBOT:ZS1!, 15m",,"{""symbol"":""ZS1!"",""side"":""S"",""price"":1052.5}",2025-04-28T12:18:31Z
2223586074,"COMEX_MINI:MHG1!, 15m",,"{""symbol"":""MHG1!"",""side"":""B"",""price"":4.862}",2025-04-28T12:15:59Z
2223589973,"CBOT:ZS1!, 15m",,"{""symbol"":""ZS1!"",""side"":""S"",""price"":1052.5}",2025-04-28T12:01:01Z
2223590771,"CBOT:ZL1!, 15m",,"{""symbol"":""ZL1!"",""side"":""B"",""price"":49.46}",2025-04-28T11:51:43Z
2223589973,"CBOT:ZS1!, 15m",,"{""symbol"":""ZS1!"",""side"":""S"",""price"":1052.5}",2025-04-28T11:49:12Z
2223584382,"NYMEX:MNG1!, 15m",,"{""symbol"":""MNG1!"",""side"":""S"",""price"":3.139}",2025-04-28T11:17:45Z
2223593755,"CBOT_MINI:MYM1!, 15m",,"{""symbol"":""MYM1!"",""side"":""S"",""price"":40159}",2025-04-28T11:00:03Z
2223593755,"CBOT_MINI:MYM1!, 15m",,"{""symbol"":""MYM1!"",""side"":""S"",""price"":40159}",2025-04-28T10:57:02Z
2223584382,"NYMEX:MNG1!, 15m",,"{""symbol"":""MNG1!"",""side"":""S"",""price"":3.141}",2025-04-28T10:54:26Z
2223589834,"CBOT:ZS1!, 15m",,"{""symbol"":""ZS1!"",""side"":""B"",""price"":1055}",2025-04-28T08:44:57Z
2223583442,"NYMEX:MCL1!, 15m",,"{""symbol"":""MCL1!"",""side"":""S"",""price"":63.04}",2025-04-28T08:28:01Z
2223584182,"NYMEX:MNG1!, 15m",,"{""symbol"":""MNG1!"",""side"":""B"",""price"":3.152}",2025-04-28T08:15:23Z
2223583442,"NYMEX:MCL1!, 15m",,"{""symbol"":""MCL1!"",""side"":""S"",""price"":63.05}",2025-04-28T08:00:27Z
2223592493,"ICEUS_DLY:SB1!, 15m",,"{""symbol"":""SB1!"",""side"":""S"",""price"":18}",2025-04-28T07:57:47Z
